artist,genres
dababy, northcarolinahiphop rap 
post malone, dfwrap melodicrap rap 
elton john, classicrock glamrock mellowgold pianorock softrock 
nickelback, alternativemetal canadianrock numetal post-grunge 
justin timberlake, dancepop pop 
far east movement, asianamericanhiphop dancepop edm pop popdance poprap 
still woozy, bedroompop modernrock oaklandindie pop 
kendrick lamar, conscioushiphop hiphop rap westcoastrap 
michael jackson, pop r&b soul 
tv girl, indiegaragerock indiepop 
kiss, albumrock classicrock glamrock hardrock metal rock 
queen, classicrock glamrock rock 
scorpions, albumrock germanhardrock germanmetal germanrock hardrock metal rock 
kid cudi, hiphop ohiohiphop rap 
bob seger, albumrock bluesrock classicrock countryrock detroitrock folkrock hardrock heartlandrock mellowgold rock softrock 
brenda lee, adultstandards brillbuildingpop easylistening lounge rockabilly vocaljazz 
a$ap rocky, eastcoasthiphop hiphop rap trap 
john denver, adultstandards classiccountrypop folk folkrock mellowgold softrock 
a$ap rocky, eastcoasthiphop hiphop rap trap 
the clash, classicrock dancerock permanentwave punk rock 
a$ap rocky, eastcoasthiphop hiphop rap trap 
playboi carti, atlhiphop hiphop rap trap 
a$ap rocky, eastcoasthiphop hiphop rap trap 
steve miller band, albumrock bluesrock classicrock countryrock folkrock hardrock heartlandrock mellowgold psychedelicrock rock rootsrock softrock 
lmfao, dancepop edm pop popdance poprap 
clean bandit, dancepop edm pop popdance post-teenpop tropicalhouse ukdance ukfunky 
pnb rock, melodicrap poprap rap trap 
the weeknd, canadiancontemporaryr&b canadianpop pop 
bobby day, doo-wop rhythmandblues rock-and-roll rockabilly 
pnb rock, melodicrap poprap rap trap 
ashanti, dancepop hiphop hippop pop r&b urbancontemporary 
dababy, northcarolinahiphop rap 
quality control, hiphop melodicrap poprap rap southernhiphop trap 
tyler childers, kentuckyindie kentuckyroots outlawcountry 
joe walsh, albumrock bluesrock classicrock countryrock folkrock hardrock heartlandrock mellowgold rock rootsrock softrock southernrock symphonicrock 
def leppard, albumrock hardrock nwobhm rock 
keri hilson, dancepop hippop pop popr&b post-teenpop r&b urbancontemporary 
the-dream, dancepop gangsterrap hiphop hippop popr&b r&b southernhiphop trap urbancontemporary 
one direction, boyband pop post-teenpop talentshow 
rehab, raprock redneck 
led zeppelin, albumrock classicrock hardrock rock 
a$ap ferg, hiphop poprap rap southernhiphop trap undergroundhiphop 
nickelback, alternativemetal canadianrock numetal post-grunge 
elton john, classicrock glamrock mellowgold pianorock softrock 
blind.see, viralrap 
pnb rock, melodicrap poprap rap trap 
ac/dc, albumrock australianrock hardrock rock 
"tyler, the creator", hiphop rap 
famous dex, chicagorap drill hiphop poprap rap southernhiphop trap undergroundhiphop vaportrap viralrap 
kid rock, alternativemetal numetal rock 
nixon wilk, 
ludwig van beethoven, classical classicalera earlyromanticera germanromanticism 
baby lullaby academy, lullaby 
ludovico einaudi, bowpop compositionalambient neo-classical 
mason williams, 
ludovico einaudi, bowpop compositionalambient neo-classical 
baby lullaby academy, lullaby 
ludovico einaudi, bowpop compositionalambient neo-classical 
blake orzechowski, 
ludovico einaudi, bowpop compositionalambient neo-classical 
oscar lopez, rumba 
ludovico einaudi, bowpop compositionalambient neo-classical 
baby lullaby, lullaby 
ludovico einaudi, bowpop compositionalambient neo-classical 
ludovico einaudi, bowpop compositionalambient neo-classical 
lullaby time, 
ludovico einaudi, bowpop compositionalambient neo-classical 
baby lullaby academy, lullaby 
johann sebastian bach, baroque classical earlymusic germanbaroque 
arthur byron, pianissimo 
johann sebastian bach, baroque classical earlymusic germanbaroque 
gucci mane, atlhiphop dirtysouthrap gangsterrap hiphop poprap rap southernhiphop trap 
johann sebastian bach, baroque classical earlymusic germanbaroque 
акимнна барановуев, 
johann sebastian bach, baroque classical earlymusic germanbaroque 
baby lullaby, lullaby 
johann sebastian bach, baroque classical earlymusic germanbaroque 
the khepresh, 
wolfgang amadeus mozart, classical classicalera 
toddler songs kids, children'smusic 
wolfgang amadeus mozart, classical classicalera 
toddler songs kids, children'smusic 
wolfgang amadeus mozart, classical classicalera 
julie moses, 
wolfgang amadeus mozart, classical classicalera 
eugene lopin, calminginstrumental lullaby 
wolfgang amadeus mozart, classical classicalera 
chillhop beats, 
wolfgang amadeus mozart, classical classicalera 
piano peace, pianocover 
wolfgang amadeus mozart, classical classicalera 
baby lullaby, lullaby 
wolfgang amadeus mozart, classical classicalera 
myreminiscence, otacore 
wolfgang amadeus mozart, classical classicalera 
bradley joseph, calminginstrumental christianrelaxative classify neoclassicaldarkwave newagepiano 
wolfgang amadeus mozart, classical classicalera 
victor wooten, electricbass instrumentalfunk jazzfunk jazzfusion modernfunk 
wolfgang amadeus mozart, classical classicalera 
tenacious d, alternativemetal comedyrock comic comicmetal parody rock 
tones and i, australianpop pop 
fall out boy, emo modernrock poppunk 
elton john, classicrock glamrock mellowgold pianorock softrock 
selena gomez, dancepop pop popdance post-teenpop 
milky chance, germanpop 
diplo, bmore edm moombahton ninja pop popdance tropicalhouse 
whitney houston, dancepop pop urbancontemporary 
boy pablo, bedroompop bergenindie indiepop norwegianindie 
walk the moon, dancepop indiepop indiepoptimism modernalternativerock modernrock poprock rock 
big sean, detroithiphop hiphop poprap rap southernhiphop trap 
troye sivan, australianpop dancepop electropop pop popdance post-teenpop viralpop 
drake, canadianhiphop canadianpop hiphop poprap rap torontorap 
shiloh dynasty, lo-fichill sadrap 
lady gaga, dancepop pop popdance 
breaking benjamin, alternativemetal numetal post-grunge 
lady gaga, dancepop pop popdance 
lcd soundsystem, alternativedance alternativerock dance-punk electronicrock electronica indiepop indierock indietronica modernrock newrave rock 
lady gaga, dancepop pop popdance 
olly murs, dancepop europop pop popdance poprock post-teenpop talentshow ukpop 
lady gaga, dancepop pop popdance 
cody johnson, contemporarycountry countryroad texascountry 
lady gaga, dancepop pop popdance 
van halen, albumrock classicrock hardrock rock 
lady gaga, dancepop pop popdance 
ghost, hardrock metal 
lady gaga, dancepop pop popdance 
beyoncé, dancepop pop popdance post-teenpop r&b 
lady gaga, dancepop pop popdance 
sly & the family stone, classicrock classicsoul disco folkrock funk funkrock mellowgold motown psychedelicsoul rock soul 
selena gomez, dancepop pop popdance post-teenpop 
skusta clee, opm pinoyhiphop tagalograp 
dirty heads, reggaefusion reggaerock 
justin bieber, canadianpop pop post-teenpop 
clmd, norwegianpop tropicalhouse 
tom petty and the heartbreakers, albumrock classicrock countryrock folkrock hardrock heartlandrock mellowgold poprock psychedelicrock rock rootsrock softrock 
