trackid,trackname,artist,artistid,genres,main_genre,danceability,energy,loudness,speechness,acousticness,instrumentalness,liveness,valence,tempo
7ytR5pFWmSjzHJIeQkgog4,rockstar (feat. roddy ricch),dababy,4r63FhuTkUYltbVAg5TQnk, northcarolinahiphop rap ,rock,0.746,0.69,-7.956,0.164,0.247,0.0,0.101,0.497,89.977
0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 savage),post malone,246dkjvS1zLTtiykXe5h60, dfwrap melodicrap rap ,rock,0.585,0.52,-6.136,0.0712,0.124,7.01e-05,0.131,0.129,159.801
3gdewACMIVMEWVbyb8O9sY,"rocket man (i think it's going to be a long, long time)",elton john,3PhoLpVuITZKcymswpck5b, classicrock glamrock mellowgold pianorock softrock ,rock,0.601,0.532,-9.119,0.0286,0.432,6.25e-06,0.0925,0.341,136.571
6n9yCXvLhnYMgJIiIcMu7D,rockstar,nickelback,6deZN1bslXzeGvOLaLMOIF, alternativemetal canadianrock numetal post-grunge ,rock,0.616,0.91,-3.004,0.0386,0.0459,0.0,0.343,0.693,144.072
1AWQoqb9bSvzTjaLralEkT,rock your body,justin timberlake,31TPClRtHm23RisEBtV3X7, dancepop pop ,rock,0.892,0.714,-6.055,0.141,0.201,0.000234,0.0521,0.817,100.972
45sDIKapDyxPl307QpEAwl,rocketeer,far east movement,698hF4vcwHwPy8ltmXermq, asianamericanhiphop dancepop edm pop popdance poprap ,rock,0.664,0.845,-6.115,0.0461,0.181,0.0,0.267,0.357,96.005
5uDohC8URXwbGiHAMuKGoa,rocky,still woozy,4iMO20EPodreIaEl8qW66y, bedroompop modernrock oaklandindie pop ,rock,0.734,0.518,-9.514,0.0813,0.556,0.00282,0.111,0.555,101.083
2HbKqm4o0w5wEeEFXm2sD4,money trees,kendrick lamar,2YZyLoL8N0Wb9xBt1NhZWg, conscioushiphop hiphop rap westcoastrap ,rock,0.716,0.531,-7.355,0.122,0.0703,0.0,0.224,0.344,71.994
7oOOI85fVQvVnK5ynNMdW7,rock with you - single version,michael jackson,3fMbdgg4jU18AjLCKBhRSm, pop r&b soul ,rock,0.808,0.535,-12.521,0.0353,0.179,9.91e-05,0.158,0.848,114.031
1H7zdcRD0gLGQY0w5ejGgX,lovers rock,tv girl,0Y6dVaC9DZtPNH4591M42W, indiegaragerock indiepop ,rock,0.559,0.871,-5.338,0.0392,7.53e-06,0.00524,0.096,0.573,104.976
6KTv0Z8BmVqM7DPxbGzpVC,rock and roll all nite,kiss,07XSN3sPlIlB2L2XNcTwJw, albumrock classicrock glamrock hardrock metal rock ,rock,0.654,0.929,-5.906,0.0998,0.0468,0.0,0.0539,0.902,144.774
54flyrjcdnQdco7300avMJ,we will rock you - remastered,queen,1dfeR4HaWDbWqFHLkxsg1d, classicrock glamrock rock ,rock,0.693,0.497,-7.316,0.119,0.679,0.0,0.258,0.473,81.308
58XWGx7KNNkKneHdprcprX,rock you like a hurricane,scorpions,27T030eWyCQRmDyuvr1kxY, albumrock germanhardrock germanmetal germanrock hardrock metal rock ,rock,0.482,0.617,-12.931,0.0458,0.00543,0.000146,0.284,0.718,125.697
4J9SI7do4KOEsCexqEbjmR,rockstar knights (with trippie redd),kid cudi,0fA0VVWsXO9YnASrzqfmYu, hiphop ohiohiphop rap ,rock,0.625,0.682,-6.292,0.126,0.384,4.54e-06,0.337,0.384,178.052
5EOoMWIB9iK4ZpcSex9Ec7,old time rock & roll,bob seger,485uL27bPomh29R4JmQehQ, albumrock bluesrock classicrock countryrock detroitrock folkrock hardrock heartlandrock mellowgold rock softrock ,rock,0.714,0.937,-2.947,0.0399,0.206,0.0,0.0731,0.964,124.13
2EjXfH91m7f8HiJN1yQg97,rockin' around the christmas tree,brenda lee,4cPHsZM98sKzmV26wlwD2W, adultstandards brillbuildingpop easylistening lounge rockabilly vocaljazz ,rock,0.589,0.472,-8.749,0.0502,0.614,0.0,0.505,0.898,67.196
4S7YHmlWwfwArgd8LfSPud,l$d,a$ap rocky,13ubrt8QOOCPljQ2FL1Kca, eastcoasthiphop hiphop rap trap ,rock,0.598,0.252,-15.086,0.0644,0.194,0.133,0.0992,0.0352,120.064
1ne9wOtDF2jM6Cm8WBkaER,rocky mountain high,john denver,7EK1bQADBoqbYXnT4Cqv9w, adultstandards classiccountrypop folk folkrock mellowgold softrock ,rock,0.455,0.437,-11.411,0.0278,0.314,0.0,0.501,0.724,81.396
2aPTvyE09vUCRwVvj0I8WK,sundress,a$ap rocky,13ubrt8QOOCPljQ2FL1Kca, eastcoasthiphop hiphop rap trap ,rock,0.721,0.707,-6.364,0.0595,0.181,3.68e-06,0.143,0.743,125.005
56KqaFSGTb7ifpt16t5Y1N,rock the casbah - remastered,the clash,3RGLhK1IP9jnYFH4BRFJBS, classicrock dancerock permanentwave punk rock ,rock,0.796,0.872,-6.722,0.0573,0.287,0.0,0.284,0.866,129.894
4X5f3vT8MRuXF68pfjNte5,"f**kin' problems (feat. drake, 2 chainz & kendrick lamar)",a$ap rocky,13ubrt8QOOCPljQ2FL1Kca, eastcoasthiphop hiphop rap trap ,rock,0.853,0.693,-6.87,0.275,0.0239,0.0,0.11,0.662,95.967
3cWmqvMwVQKDigWLSZ3w9h,rockstar made,playboi carti,699OTQXzgjhIYAHMy9RyPD, atlhiphop hiphop rap trap ,rock,0.773,0.612,-5.73,0.232,0.0398,0.0,0.142,0.381,149.999
7ycWLEP1GsNjVvcjawXz3z,praise the lord (da shine) (feat. skepta),a$ap rocky,13ubrt8QOOCPljQ2FL1Kca, eastcoasthiphop hiphop rap trap ,rock,0.854,0.569,-8.151,0.106,0.0609,0.0816,0.1,0.294,80.015
